name,sdgs/0/shortName,sdgs/1/shortName,sdgs/2/shortName,sdgs/3/shortName,sdgs/4/shortName,sdgs/5/shortName,sdgs/6/shortName,sdgs/7/shortName,sdgs/8/shortName,sdgs/9/shortName,sdgs/10/shortName,sdgs/11/shortName,sdgs/12/shortName,sdgs/13/shortName,sdgs/14/shortName,sdgs/15/shortName,sdgs/16/shortName
Afghanistan,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,,SDG11,SDG12,,SDG14,SDG15,SDG16,
Albania,,SDG2,SDG3,,SDG5,,,SDG8,SDG9,,,SDG12,SDG13,,SDG15,SDG16,
Algeria,,SDG2,SDG3,,SDG5,SDG6,SDG7,SDG8,SDG9,,,,,,SDG15,SDG16,
Angola,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,,SDG14,,SDG16,
Argentina,,,SDG3,,,,,,SDG9,SDG10,,SDG12,SDG13,SDG14,SDG15,SDG16,
Armenia,,SDG2,SDG3,SDG4,SDG5,,,SDG8,SDG9,,,,,,,SDG16,SDG17
Australia,,SDG2,,,,,SDG7,,,,,,SDG13,SDG14,SDG15,,SDG17
Austria,,,SDG3,,,,,,,,,SDG12,SDG13,,SDG15,,SDG17
Azerbaijan,,SDG2,SDG3,SDG4,SDG5,,,,SDG9,,SDG11,SDG12,,,SDG15,SDG16,
Bahrain,,,,,,,,,,,,,,,,,
Bangladesh,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,,SDG11,SDG12,SDG13,SDG14,SDG15,SDG16,SDG17
Barbados,,,,,,,,,,,,,,,,,
Belarus,,SDG2,,,,,SDG7,,,,,,SDG13,,SDG15,SDG16,
Belgium,,,,,,,SDG7,SDG8,SDG9,,,,SDG13,SDG14,SDG15,,SDG17
Belize,,,,,,,,,,,,,,,,,
Benin,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,,SDG11,SDG12,,SDG14,SDG15,SDG16,
Bhutan,,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,,SDG9,,SDG11,SDG12,,,SDG15,,
Bolivia,,SDG2,SDG3,SDG4,,SDG6,SDG7,SDG8,SDG9,SDG10,,SDG12,,,SDG15,SDG16,
Bosnia and Herzegovina,,SDG2,SDG3,,SDG5,,,SDG8,SDG9,,,SDG12,SDG13,SDG14,,SDG16,
Botswana,SDG1,SDG2,SDG3,,SDG5,SDG6,SDG7,SDG8,SDG9,,,SDG12,,,,SDG16,
Brazil,,,SDG3,SDG4,SDG5,,,SDG8,SDG9,SDG10,,SDG12,,,SDG15,SDG16,
Bulgaria,,,SDG3,,,,,,,,,,SDG13,,,SDG16,
Burkina Faso,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,,SDG11,SDG12,,,SDG15,SDG16,
Burundi,SDG1,SDG2,SDG3,,SDG5,SDG6,SDG7,SDG8,SDG9,,SDG11,SDG12,SDG13,,,SDG16,
